अँगड़ाई	yawn  
जापानि	Japanese
जापानिज	Japanese
जापानियॊं	Japanese
जापानियों	Japanese
जापानी	Japanese
जापानीज	Japanese
जाफ़री	Jaffery
जाम	Goblet
जामनगर	Jamnagar
जामबिय	Zambia
जामा	pool
जामिनि	sour milk
जामिनी	sour milk
जामिय	sour milk
जामुन	Jamun
जाम्बिया	Zambia
जाय	go
जायंट	joint
जायज	Loyal
जायजा	Inspection
जायसवाल	Jaiswal
जाया	Waste
जायॆ	go
जायॆं	go
जायॆंगि	go
जायॆंगॆ	go
जायॆग	go
जाये	go
जायें	go
जायेंगी	go
जायेंगे	go
जायेगा	go
जायेगी	go
जारकंड	Jharkand
जारज	George
जारजिय	Georgia
जारजियाचॆ	Georgia
जारडन	Jordan
जारि	Continue
जारी	Continue
जार्ज	George
जार्जिया	Georgia
जार्डन	Jordan
जाल	trap
जालंदर	Jalandhar,cistern
जालंधर	Jalandhar,cistern
जालन	grudge
जालना	burn
जालसतल	trap
जालस्थल	trap
जाला	web
जालि	fake
जाली	network
जावई	going
जावा	going
जावॆद	Javed
जावेद	Javed
जासुसि	Detection
जासूस	Detection
जासूसी	Detection
जाहन	where
जाहिर	Express
जाहिरा	Express
जिंक	Zinc
जिंटा	Zinta
जिंदगि	Life
जिंदगी	Life
जिंदल	Jindal
जिंदा	Alive
जिंदादिल	open-hearted
जिंहॆं	who
जिकर	Mention
जिक्र	Mention
जिजञास	Curiosity
जिजञासु	Curiosity
जिज्ञासा	Curiosity
जिज्ञासु	Curiosity
जितना	Whatever
जितनि	Whatever
जितनी	Whatever
जितनॆ	Whatever
जितने	Whatever
जितॆंदर	Jitender
जितेन्द्र	Jitendra
जिद	Craze
जिदंगि	life
जिदंगी	life
जिदर	Where
जिधर	Where
जिन	whose
जिनका	whose
जिनकी	whose
जिनकॆ	whose
जिनके	whose
जिनको	whose
जिनमें	whose
जिनसे	whose
जिनॆटिक	Genetic
जिनेटिक	Genetic
जिन्दगी	Life
जिन्दा	alive
जिन्ना	Jinna
जिन्हें	who
जिन्होंने	who
जिपिऍल	GPL
जिम	Jim
जिममॆदार	responsible
जिममॆदारि	responsibility
जिम्बाबवे	Zimbabwe
जिम्बाब्वे	Zimbabwe
जिम्मेदार	Responsible
जिम्मेदारी	Responsibility
जियॊपारडि	Jeopardy
जियोपार्डी	Jeopardy
जिरह	Cross examination
जिला	District
जिले	Districts
जिलों	Districts
जिल्ला	District
जिवनचरित	life history
जिवनदान	sacrifice
जिस	which
जिसका	whose
जिसकि	whose
जिसकी	whose
जिसके	whose
जिसकॊ	whose
जिसको	whose
जिसनॆ	who
जिसने	who
जिसम	Body, passion
जिसमॆं	where
जिसमें	where
जिसस	which
जिससॆ	by which
जिससे	by which
जिसॆ	whom
जिसे	whom
जिस्म	Body
जिहाद	holy war
जींस	Jeans
जीत	Win
जीतकर	Win
जीतना	Win
जीतने	Win
जीता	Win
जीती	Win
जीतीं	Win
जीते	Win
जीतेंद्र	Win
जीतेगा	Win
जीतेन्दर	Jitender
जीतेन्द्र	Jitendra
जीना	Live
जीनियस	Genius
जीने	live
जीप	Jeep
जीभ	Tongue
जीये	live
जीयो	live
जीरा	Cumin
जीव	Being
जीवजंतु	living beings
जीवन	Life
जीवनचरित	life history
जीवनदान	sacrifice
जीवनशैली	Lifestyle
जीवनसाथी	Life partner
जीवशास्त्र	biology
जीवाश्म	Fossll
जीवित	Life
जीविता	Life
जीवों	Beings
जीसस	which
जुड	Combine
जुडतॆ	Combine
जुडन	Combine
जुड़	Combine
जुड़ते	Combine
जुड़ना	Combine
जुड़ा	Combine
जुड़ी	Combine
जुड़े	Combine
जुडि	Combine
जुडिशियल	Judicial
जुडी	Combine
जुडीशियल	Judicial
जुडॆ	Combine
जुडॆं	Combine
जुनियर	Junior
जुबान	Promise
जुलाई	July
जुलाए	July
जुलियट	Juliet
जुलियस	Julius
जुड़	Combine
जुड़ा	Combine
जुड़ी	Combine
जुड़े	Combine
जूठे	false, wrong
जूता	Shoes
जूते	Shoes
जून	June
जूनियर	Junior
जूलियट	Juliet
जूही	Juhi
जॆओमॆटरि	Geometry
जॆटमलानि	Jethmalani
जॆनिंगस	Jennings
जॆनॆटिक	Genetic
जॆनॆरिक	Generic
जॆपरसन	Jefferson
जॆरालड	Gerald
जॆरुसलम	Jerusalem
जॆरुसलॆम	Jerusalem
जॆरॊम	Jerome
जेओमेट्री	Geometry
जेट	Jet
जेटली	Jaitley
जेठमलानी	Jethmalani
जेन	Zen
जेनरेशन	Generation
जेनिंग्स	Jennings
जेनेटिक	Genetic
जेनेरिक	Generic
जेपी	Janta party
जेफरसन	Jefferson
जेफरी	Geoffery
जेब	Pocket
जेम्स	James
जेराल्ड	Gerald
जेरुसलम	Jerusalem
जेरुसलेम	Jerusalem
जेरूसलम	Jerusalem
जेरोम	Gerome
जेल	Jail
जेलों	Jails
जेहन	Mind
जेफ़रसन	Jefferson
जैक	Jaik
जैकी	Jaikee
जैकेट	Jacket
जैक्शन	Jackson
जैक्सन	Jackson
जैन	Jain
जैनि	Jain
जैनी	Jain
जैनेन्द्र	Jainendra
जैविक	Biological
जैसा	Like
जैसि	Like
जैसी	Like
जैसॆ	Like
जैसे	Like
जैहिंद	Jai Hind
जॉन	Johnny
जॉनी	Johnny
जॉर्ज	George
जॉर्जिया	Georgia
जॉर्जियाचे	Georgia
जॉर्डन	Jordan
जॉल	trap
जॊक	joke
जॊड	combine
जॊडन	combine
जॊडनॆ	combine
जॊडि	pair
जॊर	force
जॊरज	George
जॊरजिय	Georgia
जॊरडन	Jordan
जॊरडनकॊ	Jordan
जॊरदार	loud
जॊशि	Joshi
जॊसॆप	Joseph
जो	Who
जोंस	Jonse
जोखिम	Risk
जोज़फ़	Joseph
जोड	Add
जोडना	Add
जोड़	Add
जोड़ा	Add
जोड़ी	Add
जोधपुर	Jodhpur
जोर	Force
जोरदार	Force
जोर्ज	George
जोर्जिया	Georgia
जोर्डन	Jordan
जोर्डनको	Jordan
जोश	Excitement
जोशी	Joshi
जोस	Enthusiasm
जोसेफ	Joseph
जोसेफ़	Joseph
जोहूर	Johar
जोड़	Add
जोड़कर	Add
जोड़ने	Add
जोड़ा	Add
जोड़ी	Couple
जोड़े	Couples
जौन	John
जौनपुर	Jaunpur
जौरज	George
जौर्ज	George
जौहर	Jouhar
ज्ञात	Known
ज्ञान	Knowledge
ज्ञानकोश	treasure of knowledge
ज्ञानजोत	light of knowledge
ज्ञानपीठ	Gyanpeeth
ज्ञानप्रकाश	Gyanprakash
ज्ञानरंजन	Knowledge
ज्ञानसन्दूक	violation
ज्ञानेंद्र	Gyanendra
ज्ञानेन्द्र	Gyanendra
ज्ञानेन्द्रको	Gyanendra
ज्ञानोदय	wise
ज्ञापन	Memory
ज्याक्सनद्वारा	Jackson
ज्यादा	More
ज्यादातर	Mostly
ज्यानमार्ने	killing
ज्यानुवरी	January
ज्युलियस	Julius
ज्यूपिटर	Jupiter
ज्येष्ठ	Eldest
ज्यॉफ्री	Jaffery
ज्यो	who
ज्यों	who
ज्योति	Light
ज्योतिर्गमय	Lightning
ज्योतिष	Astrologer
ज्योतिषशास्त्राचे	Astrology
ज्योतीराव	Jyotirao
ज्वलंत	burning
ज्वालामुखी	volcano
जड़	Root
जड़े	set
झँडा	Flag
झंकृत	chime
झंझावत	chime
झंडी	Flags
झंडे	Flags
झकास	superb
झगड़ा	Quarrel
झगड़े	Quarrel
झगडा	Quarrel
झटका	Stroke
झटके	Stroke
झटकों	Stroke
झड़प	Contention
झड़पें	Contention
झड़पों	Contention
झड़ी	flag
झत्का	stroke
झन्ना	cramped
झपकते	Nap
झपकी	Nap
झप्पी	hug
झरना	Waterfall
झरोखा	Small window
झरोखे	Small window
झरोखोँ	Small window
झरोखों	Small window
झलक	Flash
झलकियाँ	Flash
झहीर	Zaheer
झाँकी	peep show
झाँसी	Jhansi
झांकती	peep
झांकिए	peep
झांकेगा	peep
झांबिया	Zambia
झांसी	Jhansi
झाकिर	Zakir
झाकीर	Zakir
झाङे	Trees
झाड	Trees
झाडा	Trees
झाडाझडती	Trees
झापड	slap
झापा	basket
झाबुआ	scuttle
झायेद	Zayed
झार	drizzle
झारखंड	Jharkhand
झाली	sharp
झाले	sharp
झालो	sharp
झाड़	Trees
झिम्बाब्वे	Zimbabwe
झिम्बाब्वेचे	Zimbabwe
झील	lake
झीलँड	lake
झीलँडचे	lake
झुंड	stream
झुंडों	stream
झुक	Bend
झुकने	Bend
झुकाने	Bend
झुकी	Bend
झुकेंगे	Bend
झुल्फिकार	Zulfikar
झूकने	bend
झूठ	Lie
झूठा	Lie
झूठी	Lie
झूम	swing
झेकोस्लोव्हेकिया	Czechoslovakia
झेल	Bear
झेलना	Bear
झेलम	Jhelum
झेलिये	Bear
झेवियर	Xavier
झोंबी	zombie
झोली	Bag
झोले	Bag
झ्यूस	juice
टंक	Type
टंकन	Type
टंकलॆकन	Typewriter
टंकलॆकनाचि	Typewriter
टंकलेखन	Typewriter
टंकलेखनाची	Typewriter
टंगसटन	Tugsten
टंग्स्टन	Tugsten
टंजानिय	Tanzania
टंजानिया	Tanzania
टंडन	Tandan
टंडॆ	cool
टंबललागः	Quarrel
टंबललॉगः	Quarrel
टकक	Injection
टककर	Accident
टकन	Injection
टकनॊलॊजि	Technology
टकरा	Clash
टकराई	Clash
टकरातॆ	Clash
टकराते	Clash
टकराव	Clash
टक्कर	Accident
टक्का	Accident
टखना	Ankle
टटॊरियल	Tutorial
टटॊल	To feel
टटॊलॊ	To feel
टटोरियल	Tutorial
टटोल	To feel
टटोलो	To feel
टन	Ton 
टप	toss
टपप	toss
टमाटर	Tomato
टमाटरॊं	Tomato
टमाटरों	Tomato
टयुनिशिय	Tunisia
टयुनिशियाई	Tunisia
टयुनिसिय	Tunisia
टयुब	Tube
टयुबलाइट	Tube Light
टयुरिंग	Turing
टयुलिप	Tulip
टयुशन	Tution
टयूशन	Tution
टर	yell
टरक	Disappear
टरकि	Turkey
टरकॊं	Turkey
टरनर	Turner
टरबियम	Trubium
टरमपर	Tramper
टरमिनॆटर	Terminatior
टरसटिशिप	trusteeship
टरांस	Trans
टरांसडयुसरस	transducer
टरांसपर	Transfer
टरांसलिटरॆशन	Translation
टरापिक	Tropic
टराम	Tram
टरायकॊस	Traicos
टरायल	Trail
टरि	Tree
टरिकस	tricks
टरिनिडाड	Trinidad
टरिपल	triple
टरिबयुनल	Tribunal
टरिम	Trim
टरिलियन	Trillion
टरिशिटर	Tristar
टरुप	Troup
टरुमन	Truman
टरॆक	Trek
टरॆकिंगचय	trekking
टरॆजॆडि	tragedy
टरॆड	Trade
टरॆन	Train
टरॆनॊं	Train
टरॆलर	trailer
टरैवॆल	Travel
टर्की	Turkey
टर्नर	Turner
टर्मिनेटर	Terminator
टल	move away
टला	move away
टलाः	move away
टली	move away
टलुअई	move away
टलुआ	move away
टविकिंग	Tweaking
टविटर	Tweeter
टवॆंटि	Twenty
टवैन	Twain
टहराएंगॆ	Stand
टहराय	Stand
टहरायॆंगॆ	Stand
टहरि	Stand
टहरॆ	Stand
टाँग	Leg
टांग	Leg
टांजानिय	Tanzania
टांझानिया	Tanzania
टाइगरस	Tiger
टाइगर्स	Tiger
टाइटल	Title
टाइटानियम	Titanium
टाइप	Type
टाइपराइटर	Typewriter
टाइपिंग	Typing
टाइम	Time
टाइमम	Time
टाइममा	Time
टाइमस	Times
टाइम्स	Times
टाइल	Tile
टाई	Tie
टाईटन	Titan
टाईम	Time
टाईमजॊन	Timezone
टाईमपास	Timepass
टाईमस	Times
टाईम्	Time
टाईम्स	Times
टाईमज़ोन	Timezone
टाउन	Town
टाउनसॆंड	Townsend
टाउनसेन्ड	Townsend
टाक	talk
टाकरॆ	Thakre
टाकिया	Takiya
टाकुर	Thakur
टाटा	Tata
टाडा	TADA
टाढा	TADA
टाण्टलम	Tantilum
टानटलम	Tantilum
टाप	Top
टापर	Topper
टापिक	Topic
टायटनिक	Titanic
टायटॅनिक	Titanic
टायटॆनिय	Titanic
टायटेनिया	Titanium
टारपुल	Turpul
टारफुला	Turful
टाल	defer
टालसटाय	Tolstoy
टाला	defer
टालॆ	defer
टालॊ	defer
टालो	defer
टावर	Tower
टासमानिय	Tasmania
टासमानिया	Tasmania
टाॅप	Top
टाॅय	Toy
टाॅस	Toss
टि	Tea
टिंग	Ting
टिक	durability
टिकट	Ticket
टिकर	stumble
टिकरित	stumble
टिका	durability
टिकाऊ	Durable
टिकान	durability
टिकानॆ	durability
टिकानॊं	durability
टिकिटिंग	Ticketing
टिकी	durable
टिच	teach
टिचर	teacher
टिडिं	Team
टिडीं	Team
टिन	Tin
टिप	Tip
टिपटन	Tipton
टिपपनि	Note
टिपपनियां	Note
टिपपनियॊं	Note
टिपस	Tips
टिपु	Tipu
टिप्	tips
टिप्पणियाँ	Note
टिप्पणियां	Note
टिप्पणियों	Note
टिप्पणी	Note
टिप्स	Tips
टिबि	TB
टिम	team
टिमकॊ	team
टिमको	team
टिमस	teams
टिवि	TV
टि॰वि॰	TV
टी	Tea
टीका	Injection
टीकाकरण	Injection
टीके	Injection
टीचर	Teacher
टीन	Teen
टीनेजर	Teenager
टीप	point
टीपू	Tippu
टीप्	point
टीम	Team
टीमें	Team
टीमों	Teams
टीमोर	Timore
टीम्स	Teams
टीवी	TV
टी॰वी॰	TV
टु	to
टुअर	tour
टुकड़ी	piece
टुकड़ो	piece
टुकडि	piece
टुकडॆ	piece
टुकडे	piece
टुकडॊ	piece
टुकराई	knock
टुकराए	knock
टुकराओ	knock
टुकरानॆ	knock
टुकराय	knock
टुकड़ा	Piece
टुकड़े	Pieces
टुगॆदर	together
टुगेदर	together
टुट	Break
टुटकॆ	Break
टुटके	Break
टुटतॆ	Break
टुटनॆ	Break
टुटि	Break
टुडॆ	today
टुतपॆसट	toothpaste
टुनिशिय	Tunisia
टुनिशिया	Tunisia
टुर	tour
टुरनामॆंट	Tournament
टुरिजम	tourism
टुरिज्म	tourism
टुलबाकस	toolbox
टुलबार	toolbar
टुलस	tools
टू	to
टूअॅर	tour
टूट	Break
टूटते	Break
टूटने	Break
टूटा	Break
टूटी	Break
टूटे	Break
टूडे	today
टूथपेस्ट	toothpaste
टूर	tour
टूर्नामेंट	Tournament
टूल	tool
टूलबार	Toolbar
टूल्स	tools
टॅक्नोलोजी	Technology
टॆंपॊ	tempo
टॆकनालॊजि	Technology
टॆकनिशियम	technetium
टॆकनॊलाजि	technology
टॆकसास	Texas
टॆकसासचय	Texas
टॆकसि	Taxi
टॆगॊर	Tagore
टॆडिंगटन	Tedington
टॆनिस	Tennis
टॆमपल	Temple
टॆमपलॆट	Template
टॆमस	Times
टॆलर	Tailor
टॆलिपॊन	Telephone
टॆलिबिजन	Television
टॆलिबिजनम	Television
टॆलिमाकस	Telemachus
टॆलुरियम	Telurium
टॆशन	Tension
टॆसट	Test
टॆसटिंग	Testing
टॆसटिग	Testing
टेंगर	Tiger
टेंपो	Tempo
टेंशन	Tension
टेक	rest
टेक्निशियम	technetium
टेक्नॉलोजी	Technology
टेक्नोलाॅजी	Technology
टेक्नोलॉजी	Technology
टेक्सास	Texas
टेक्सासच्या	Texas
टेक्सी	Taxi
टेक्स्ट	Text
टेगोर	Tagore
टेड	Ted
टेडिंगटन	Tedington
टेड्डी	Teddy
टेन	Ten
टेनिस	Tennis
टेनिसन	Tennis
टेप	Tape
टेबल	Table
टेम्पल	temple
टेम्प्लेट	template
टेम्स	times
टेरेंस	Terrace
टेरेसा	Teresa
टेलर	Tailor
टेलिफोन	Telephone
टेलिभिजन	Television
टेलिभिजनमा	Television
टेलिमाकस	Telemachus
टेलिविजन	Television
टेलिविज़न	Television
टेलीकास्ट	Telacast
टेलीफ़ोन	Telephone
टेलीफोन	Telephone
टेलीविजन	Television
टेलीविज़न	Television
टेलीविज़न	Television
टेलीस्कोप	Telescope
टेलुरियम	Telurium
टेस्ट	Test
टेस्टिंग	Testing
टेस्टिग	Testing
टेस्ला	Tesla
टै	Tie
टैंकरॊं	Tanker
टैंकरों	Tanker
टैंकॊं	tanker
टैंकों	tank
टैकनॊराति	Technorati
टैकनॊलॊजि	Technology
टैकस	Tax
टैकसट	Text
टैकसि	Taxi
टैक्नोराती	Technorati
टैक्नोलोजी	Technology
टैक्स	Tax
टैक्सी	Taxi
टैग	tag
टैगिंग	tag
टैगॊर	Tagore
टैगोर	Tagore
टैनिस	Tennis
टैपिंग	Typing
टैपिंगःकितनि	Typing
टैपिंगःकितनी	Typing
टैमपलॆट	Template
टैम्पलेट	Template
टैम्प्लेट	Template
टैलर	tailor
टॉक	Talk
टॉप	Top
टॉम	Tom
टॉय	Toy
टॉल्	defer
टॉल्स्टॉय	Tolstoy
टॉस	Toss
टॊंक	Talk
टॊंग	Leg
टॊकन	Token
टॊकयॊ	Tokyo
टॊकर	Cheat
टॊकरि	Cheat
टॊकियॊ	Cheat
टॊन	Tone
टॊनि	Tony
टॊबैगॊ	Tobbago
टॊयॊट	Toyota
टॊरंटॊ	Toronto
टॊरवलडस	Torvalds
टॊरॊंटॊ	Toronto
टॊल	Quarter
टॊलि	body
टोंगा	Tonga
टोकन	Token
टोकरी	Cheat
टोकियो	Tokyo
टोक्यो	Tokyo
टोगो	Togo
टोन	tone
टोनी	Tony
टोयोटा	Toyota
टोरंटॊ	Toronto
टोरवल्ड्स	Torvalds
टोरोंटो	Toronto
टोला	Quarter
टोली	Band
टोह	Search
ट्युनिसिया	Tunisia
ट्युरिंग	Turing
ट्यूनीशिया	Tunisia
ट्यूनीशियाई	Tunisia
ट्यूब	tube
ट्यूबलाइट	tubelight
ट्यूरिंग	Turing
ट्यूलिप	Tulip
ट्रंक	Trunk
ट्रक	Truck
ट्रकों	Trucks
ट्रस्ट	Trust
ट्रस्टीशिप	Trustyship
ट्राँसलिट्रेशन	Transliteration
ट्रांस	Trans
ट्रांसफर	Transfer
ट्रांसलिटरेशन	Transliteration
ट्रांस्ड्यूसर्स	transducer
ट्रांसफ़र	transfer
ट्रान्सलिट्रेशन	Transliteration
ट्राफिक	Traffic
ट्राम्	Tram
ट्रायकोस	Tricose
ट्रायल	Trial
ट्राॅफी	Trophy
ट्राफ़िक	traffic
ट्राफ़ी	trophy
ट्रिक्स	Tricks
ट्रिनिडाड	Trinidad
ट्रिपल	Triple
ट्रिब्यूनल	Tribunal
ट्रिम	Trim
ट्रिलियन	Trillion
ट्री	Tree
ट्रेक	trek
ट्रेकींगच्या	trekking
ट्रेजेडी	Tragedy
ट्रेड	tread
ट्रेन	Train
ट्रेनिंग	Training
ट्रेनों	Train
ट्रेलर	Trailer
ट्रैकबैक	Trekbike
ट्रैवेल	Travel
ट्विटर	Tweeter
ट्वीक	Tweek
ट्वीकिंग	tweaking
ट्वेंटी	Twenty
ट्वैन	Twine
ठंड	Cool
ठंडा	Cool
ठंडी	Cool
ठंडे	Cool
ठंढे	Cool
ठगों	Cheat
ठप	stamp
ठप्प	stamp
ठहराएंगे	waiting
ठहराया	wait
ठहरायेंगे	wait
ठहरी	wait
ठहरे	wait
ठहाका	peal
ठाकरे	Thackeray
ठाकुर	Thakur
ठाठ	retinue
ठाणे	police station
ठिकाण	Place
ठिकाने	Place
ठिकानों	Place
ठिठुरता	shiver
ठीक	Correct
ठीकरा	reject
ठुकरा	reject
ठुकराई	reject
ठुकराए	reject
ठुकराओ	reject
ठुकराने	reject
ठुकराया	reject
ठूंठ	stump
ठेके	contract
ठेकेदार	contractor
ठेकेदारों	contractor
ठोस	solid
डंकन	duncan
डंड	club
डंडा	club
डगमग	waver
डगमगा	waver
डगलस	Douglas
डग्लस	Douglas
डच	Dutch
डट	stop
डटे	stop
डन	Done
डनियॆल	Daniel
डब	Dub
डबल	Double
डबलयु	W
डबलयुटिए	WTA
डबलस	Doubles
डबलिन	Dublin
डबल्स	Doubles
डब्लिन	Dublin
डब्ल्यु	W
डब्ल्यू	W 
डब्ल्यूटीओ	WTO
डर	Fear
डरति	Fear
डरती	Fear
डरन	Fear
डरना	Fear
डरपॊक	Coward
डरपोक	Coward
डरबिशायर	Derbyshire
डरहम	Durham
डराइवर	Driver
डराइवरस	Driver
डराइविंग	Driving
डराईबर	Driver
डरॆं	Fear
डरॆंगॆ	Fear
डरें	Fear
डरेंगे	Fear
डरैगन	dragon
डरो	Fear
डर्बीशायर	Derbyshyre
डलवाएगि	Put on
डलवाएगी	Put on
डली	Smallbit
डांस	Dance
डाइ	die
डाइजॆसट	Digest
डाइजेस्ट	Digest
डाइरैकटएकस	DirectX
डाइरैक्टएक्स	DirectX
डाईट	Diet
डाउन	Down 
डाउनलॊड	Download
डाउनलॊडहरु	Downloader
डाउनलोड	Download
डाउनलोडहरू	Downloader
डाउलिंग	Dowling
डाक	Post
डाकटर	Doctor
डाकटरॆट	Doctorate
डाकटरॊं	Doctor
डाकयुमॆंटरिज	Documentaries
डाकसुचि	Postal index
डाकसूची	Postal index
डाकु	Thief
डाकू	Thief
डाक्टर	Doctor
डाक्टरों	Doctor
डाक्यूमेंटरीज	Documentary
डाट	scold
डाटकाम	dotcom
डाटा	Data
डाटाबॆस	Database
डाटाबेस	Database
डान	Don 
डामिनिक	Dominic
डायना	Diana
डायनासाॅर	Dinosaur
डायनासोर	Dinosaur
डायमंड	Diamond
डायरि	Dairy
डायरी	Dairy
डायरेक्टर	Director
डायल	dial
डारटमुंड	Dartmund
डारलिंग	Darling
डारविन	Darwin
डार्लिंग	Darling
डार्विन	Darwin
डाल	Put
डालकर	Put
डालती	Put
डालते	Put
डालना	Put
डालनॆ	Put
डालने	Put
डालपस	dollops
डालपिनॊं	Dolphin
डालमिया	Dalmiya
डालर	Dollar
डाला	Put
डालास	Dallas
डालिए	Put
डाली	Branch
डालुंग	put
डालूंगा	put
डालॆ	put
डालॆंगॆ	put
डालॆग	put
डाले	put
डालें	put
डालेंगे	put
डालेगा	put
डाल्फिनों	Dolphins
डाॅक्टर	Doctor
डाॅक्टरों	Doctors
डाॅट	Dot
डाॅन	Don 
डाॅलफिन	Dolphin 
डाॅलर	Dollar
डाॅल्फिन	Dolphin 
डिएनए	DNA
डिक	dick
डिकंस	Dickens
डिकन्स	Dickens
डिकशनरि	Dictionary
डिक्शनरी	Dictionary
डिग्री	Degree
डिजनि	Diesel
डिजल	Diesel
डिज़ाइन	design
डिज़ाइनर	designer
डिजाइन	Design
डिजाइनर	Design
डिजाईनर	Design
डिजिटल	Digital
डिज्नीलैंड	Disneyland
डिडि	DD
डिपटि	Deputy
डिपरंट	Different
डिप्टी	Deputy
डिप्लोमा	Diploma
डिफ्रंट	Different
डिबबॊं	box
डिब्बा	Box
डिब्बे	Box
डिमांड	Demand
डिमान्ड	demand
डिरॆकटरि	Directory
डिरेक्टरी	Directory
डिलिट	Delete
डिलीट	Delete
डिलीवरी	Delivery
डिवएकस	divx
डिवएक्स	divx
डिवाइड	Divide
डिविडि	Divide
डिविडिस	DVD
डिश	Dish
डिसकलॆमर	Disclaimer
डिसटराय	Destroy
डिसपॊजॆबल	Disposable
डिसॆंबर	December
डिसॆमबर	January
डिसेंबर	February
डिसेम्बर	March
डिस्कवरी	Discovery
डिस्क्लेमर	Disclaimer
डिस्ट्रॉय	Destroy
डिस्पोजेबल	Disposable
डिस्प्रोसियम	Disprosium
डिज़ाईनर	Designer
डीएनए	DNA
डीएस	DSicovery
डीजल	Diesel
डीज़ल	Diesel
डीडी	DD
डीप	Deep
डीपबर्नर	Deep burner
डीफेनबेकर	Deep burner
डीवीडी	DVD
डुंडनॆ	find
डुब	immerse
डुबतॆ	immerse
डुबनॆ	immerse
डुबि	immerse
डुबॆ	immerse
डूब	Immerse
डूबकी	Immerse
डूबते	Immerse
डूबने	Immerse
डूबा	Immerse
डूबी	Immerse
डूबे	Immerse
डॅनियेल	Daniel
डॅनिश	Danish
डॅाट	Dot
डॆंगु	Dengue
डॆंमारक	Denmark
डॆंमारकचॆ	Denmark
डॆंसिटि	Density
डॆकसटर	Dexter
डॆजरट	desert
डॆट	det
डॆटाबॆस	Database
डॆटिंग	Dating
डॆटॊनॆटरस	Detonators
डॆड	Half
डॆनमारक	Denmark
डॆनिश	Denise
डॆनिस	Denise
डॆमॊकरयासि	Democracy
डॆमॊकरॆट	Democrat
डॆमॊकरॆटिक	Democratic
डॆमॊकरॆटॊं	democrat
डॆमॊन	Demon
डॆर	tent
डॆरि	tent
डॆरॆक	derek
डॆविड	David
डॆसक	Desk
डॆसकटाप	Desktop
डॆसकटॊप	Desktop
डॆसमंड	Desmond
डेंगू	Dengue
डेंसिटी	density
डेक्स्टर	dexter
डेट	Date
डेटा	Date
डेटाबेस	database
डेटिंग	dating
डेटोनेटर्स	detonators
डेड	One and half
डेढ़	One and half
डेनमार्क	Denmark
डेनिएल	Daniel
डेनिश	denise
डेनिस	denise
डेन्मार्क	Denmark
डेन्मार्कचे	Denmark
डेमोक्रेट	democrat
डेमोक्रेटिक	Democratic
डेमोक्रेटों	democrat
डेमोक्र्यासि	democracy
डेमोन	demon
डेर	Tent
डेरा	Tent
डेरी	Tent
डेवलपमेंट	Development
डेविड	David
डेव्हिड	David
डेव्हिस	Davis
डेस्क	Desk
डेस्कटाप	Desktop
डेस्कटॉप	Desktop
डेस्कटॊप	Desktop
डेज़र्ट	desert
डेढ़	One and half
डैनियल	Daniel
डैनिश	Danish
डैमॊकरैट	democratic
डैमोक्रैट	democrat
डैवलपर	developer
डैसकटाप	Desktop
डैस्कटॉप	Desktop
डॉक्	Post
डॉक्टर	Doctor
डॉक्टरेट	Doctorate
डॉक्टरों	Doctor
डॉटकॉम	DotCom
डॉन	don
डॉमिनिक	Dominic
डॉमिनिकन	Domnican
डॉयरी	diary
डॉयल	dial
डॉर्टमुंड	Dortmund
डॉलर	Dollar
डॊमिनिक	Dominic
डॊमॆन	Domain
डोज	Dose
डोनेल	Donnell
डोम	Dome
डोमिनिक	Dominic
डोमिनिका	Dominic
डोमेन	domain
डोर	string
डोली	Bucket
ड्ब्ल्यूटीए	WTA
ड्यूटी	Duty
ड्राइवर	Driver
ड्राइवर्स	Driver
ड्राइविंग	Driving
ड्राईभर	Driver
ड्रामा	Drama
ड्रीम	dream
ड्रैगन	Dragon
ड्रॉ	Draw
ड्रॉफ़्ट	Draft
ढंग	manner
ढर्रे	Fear
ढले	cast
ढ़ाका	Dhaka
ढांचा	Frame
ढाई	Two and half
ढाक	cover
ढाका	cover
ढाल	armor
ढा़बा	Dhaba
ढील	loose
ढूँढता	Search
ढूँढना	Search
ढूंढ	Search
ढूंढने	Search
ढेर	Many
ढेरों	Many
ढोरे	Cattle
ढोल	Drum
तंग	Narrow
तंज़ानिया	Tanzania
तंजानिय	Tanzania
तंजानिया	Tanzania
तंजावर	Tanjaore
तंडरबरड	Thunderbird
तंत्र	machine
तंद्रा	Drowsiness
तंस़ानिया	Tanzania
तंसानिय	Tanzania
तंहाइयां	loneliness
तंहाई	loneliness
तंहाईयॊं	loneliness
तक	till
तकत	Pillow
तकदिर	fate
तकदीर	fate
तकनिक	Technique
तकनिकि	Technical
तकनिकॊं	Technique
तकनीक	Technique
तकनीकी	Technical
तकनीकों	Technique
तकनीक।	Technique
तकरीबन	Approximately
तकलिप	Problem
तकलीफ	Problem
तकलीफ़	Problem
तख्ता	Plank
तगड़ी	hardy
तगडि	hardy
तजाकिस्तान	Tazakistan
तट	Coast
तटसत	indifferent
तटस्थ	indifferent
तटीय	Coastal
तडपति	Restless
तडपाति	Restless
तड़पती	Restless
ततकाल	immediately
ततपर	Curious
ततपरत	Curious
ततवजञान	Philosophy
ततवजञानि	Philosophy
ततवॊं	elements
ततासतु	bless
तत्काल	Immediately
तत्कालीन	Currently
तत्त्व	element
तत्त्वज्ञान	Philosophy
तत्त्वज्ञानी	philosopher
